3202959008000	opera.opera_designer_role	theater.theater_designer_role	organization.role	theater.theater_role	projects.project_role
2100654013000	rail.railway	metropolitan_transit.transit_line	rail.rail_network	symbols.namesake	projects.project
2100841006000	measurement_unit.measurement_system	measurement_unit.unit_of_data_transmission_rate	measurement_unit.energy_unit	measurement_unit.time_unit	people.human_measurement
2105301003000	games.game	cvg.computer_videogame	cvg.game_version	olympics.olympic_games	architecture.unrealized_design
2103080012000	religion.religion	religion.religious_practice	martial_arts.martial_artist	religion.religious_organization	people.profession
3200570007000	business.sponsor	business.sponsorship	conferences.conference_sponsor	exhibitions.exhibition_sponsor	spaceflight.space_program_sponsor
2102128012000	business.business_operation	organization.organization	fictional_universe.fictional_organization	automotive.company	education.educational_institution
2100250007000	government.government_office_or_title	education.department	architecture.building	organization.australian_organization	government.government
2102705003000	measurement_unit.measurement_system	astronomy.star_system	people.human_measurement	fictional_universe.fictional_calendar_system	measurement_unit.solid_angle_unit
2101146004000	radio.radio_program	radio.radio_program_episode	spaceflight.space_program	base.lightweight.radio_station	education.student_radio_station
2105552003000	measurement_unit.force_moment_unit	measurement_unit.unit_of_force	military.military_unit	base.exoplanetology.exoplanet	architecture.building_complex
3205993004000	measurement_unit.time_unit	measurement_unit.unit_of_data_transmission_rate	measurement_unit.energy_unit	measurement_unit.time_interval	measurement_unit.distance_unit
2102643007000	basketball.basketball_conference	ice_hockey.hockey_conference	conferences.conference	american_football.football_conference	time.event
2100263003000	cvg.computer_game_engine_family	cvg.computer_game_engine	engineering.engine	people.family	spaceflight.rocket_engine
2105409014000	games.game_expansion	cvg.computer_game_expansion	music.release_component	cvg.game_version	games.playing_card_game
2101341002000	measurement_unit.measurement_system	soccer.football_league_system	astronomy.planetographic_coordinate_system	fictional_universe.fictional_calendar_system	measurement_unit.surface_tension_unit
2103467001000	engineering.engine	automotive.engine	spaceflight.rocket_engine	cvg.computer_game_engine	boats.engine
2100600007000	business.sponsorship	business.sponsor	conferences.conference_sponsor	exhibitions.exhibition_sponsor	spaceflight.space_program_sponsor
2101083009000	medicine.manufactured_drug_form	medicine.routed_drug	business.consumer_product	biology.owned_animal	fictional_universe.fictional_object
3202811003000	games.game_designer	cvg.cvg_designer	amusement_parks.ride_designer	computer.computer_designer	spaceflight.rocket_engine_designer
3205347003000	radio.radio_program_episode	broadcast.broadcast	radio.radio_program	government.election_poll	medicine.medical_trial
2104299003000	measurement_unit.fuel_economy_unit	automotive.us_fuel_economy	automotive.fuel	measurement_unit.energy_unit	spaceflight.rocket_fuel
2101471003000	time.time_zone	time.event	fictional_universe.fictional_date_time	ice_hockey.hockey_conference	architecture.building
2101275005000	people.human_measurement	measurement_unit.measuring_instrument	measurement_unit.time_unit	measurement_unit.illuminance_unit	measurement_unit.unit_of_molar_mass
3201457009000	exhibitions.exhibition	event.presented_work	music.featured_artist	time.event	exhibitions.exhibition_curator
3201942014000	cvg.game_version	cvg.cvg_platform	computer.computer_peripheral	games.game	computer.computer
2101623002000	measurement_unit.measurement_system	measurement_unit.current_density_unit	measurement_unit.unit_of_density	measurement_unit.current_unit	measurement_unit.time_unit
2101764012000	radio.radio_program	radio.radio_program_episode	broadcast.broadcast	base.lightweight.radio_station	broadcast.radio_station
2102782003000	fictional_universe.fictional_calendar_system	transportation.highway_system	library.public_library_system	measurement_unit.measurement_system	metropolitan_transit.transit_system
2104624003000	astronomy.planet	base.exoplanetology.exoplanet	astronomy.dwarf_planet	computer.computer	spaceflight.rocket
2104639000000	geography.lake	location.in_district	geography.lake_type	base.exoplanetology.exoplanet	meteorology.tropical_cyclone
2101341001000	measurement_unit.measurement_system	astronomy.planetographic_coordinate_system	measurement_unit.surface_tension_unit	soccer.football_league_system	fictional_universe.fictional_calendar_system
2101162010000	measurement_unit.measurement_system	fictional_universe.fictional_calendar_system	library.public_library_system	soccer.football_league_system	astronomy.star_system
2100629000000	measurement_unit.catalytic_concentration_unit	measurement_unit.catalytic_activity_unit	measurement_unit.molar_energy_unit	measurement_unit.unit_of_conductivity	measurement_unit.specific_energy_unit
3203178013000	sports.sports_position	soccer.football_position	ice_hockey.hockey_position	basketball.basketball_position	baseball.baseball_position
2101925024000	soccer.football_player	people.person	american_football.football_player	ice_hockey.hockey_player	sports.pro_sports_played
2102355001000	measurement_unit.volume_unit	measurement_unit.molar_volume_unit	measurement_unit.unit_of_molar_mass	measurement_unit.specific_volume_unit	measurement_unit.mass_unit
2102120012000	religion.belief	fictional_universe.event_in_fiction	opera.opera_character	theater.theater_character	fictional_universe.fictional_character
3204636000000	travel.travel_destination	spaceflight.mission_destination	location.in_city	spaceflight.rocket_launch_site	fictional_universe.fictional_setting
3205906008000	automotive.designer	computer.computer_designer	amusement_parks.ride_designer	fashion.fashion_designer	cvg.cvg_designer
3203081010000	education.education	education.school_category	fictional_universe.school_in_fiction	religion.religion	book.school_or_movement
2100753002000	rail.electric_system	rail.railway_operator	transportation.highway_system	computer.operating_system	travel.transport_operator
2105301015000	games.game	cvg.computer_videogame	theater.play	games.game_designer	olympics.olympic_games
2102458003000	measurement_unit.inductance_unit	measurement_unit.capacitance_unit	measurement_unit.unit_of_conductivity	measurement_unit.molar_energy_unit	measurement_unit.specific_energy_unit
2100072005000	rail.locomotive_builder	spaceflight.rocket_engine_manufacturer	architecture.engineering_firm	organization.organization	rail.locomotive_owner
2100630014000	comic_books.comic_book_series	book.book_edition_series	book.literary_series	travel.guidebook_series	conferences.conference_series
2101974007000	computer.software_developer	cvg.cvg_developer	games.game_publisher	cvg.cvg_publisher	organization.organization
3202686014000	tv.tv_writer	music.songwriter	book.author	film.writer	film.director
2100600003000	business.sponsorship	conferences.conference_sponsor	business.sponsor	exhibitions.exhibition_sponsor	internet.top_level_domain_sponsor
2101531011000	computer.programming_language	fictional_universe.fictional_language	computer.programming_language_developer	architecture.building_complex_function	language.language_creator
3206106004000	film.film_art_director	people.person	film.director	theater.theater_director	visual_art.visual_artist
2101974003000	cvg.cvg_developer	computer.software_developer	games.game_publisher	cvg.computer_game_engine_developer	computer.operating_system_developer
3203663001000	visual_art.color	wine.wine_color	business.brand_colors	automotive.exterior_color	chess.chess_color
2100269005000	cvg.game_version	games.game	computer.computer	music.release	cvg.computer_game_distribution_system
2101103001000	medicine.manufactured_drug_form	medicine.routed_drug	medicine.drug	business.consumer_product	business.defunct_company
2101842004000	biology.organism_classification	protected_sites.site_listing_category	biology.organism_classification_rank	law.us_patent_category	fictional_universe.character_species
2102240002000	measurement_unit.measurement_system	people.human_measurement	measurement_unit.pressure_unit	measurement_unit.power_unit	spaceflight.spacecraft
2101019000000	food.beer_style_category	food.wine_style	architecture.architectural_style	opera.opera	distilled_spirits.blended_spirit_style
3206529001000	food.wine_style	wine.wine_type	distilled_spirits.blended_spirit_style	type.type	government.form_of_government
2102029001000	measurement_unit.measurement_system	people.human_measurement	measurement_unit.time_unit	astronomy.star_system	measurement_unit.power_unit
2102256004000	conferences.conference_series	ice_hockey.hockey_conference	conferences.conference	basketball.basketball_conference	sports.tournament_team
2103174001000	measurement_unit.inverse_temperature_unit	measurement_unit.temperature_unit	measurement_unit.thermal_conductivity_unit	measurement_unit.time_unit	measurement_unit.unit_of_conductivity
2102128003000	business.business_operation	organization.organization	fictional_universe.fictional_organization	automotive.company	travel.hotel_operator
2102375004000	rail.railway	rail.railway_terminus	travel.transport_terminus	metropolitan_transit.transit_line	spaceflight.rocket_engine
3205555000000	measurement_unit.unit_of_frequency	law.us_patent	measurement_unit.time_unit	book.periodical_frequency	spaceflight.satellite
2104940005000	rail.rail_gauge	rail.railway_type	law.us_patent	rail.railway	automotive.model
2103250000000	exhibitions.exhibition	architecture.museum	event.presented_work	travel.tourist_attraction	visual_art.art_series
